Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/05/2022;129.35;44.43;1.22;00.0;175.00;7,400.65;Cancelado
2;06/06/2022;147.93;25.85;1.22;00.0;175.00;7,252.72;Cancelado
3;05/07/2022;150.83;22.95;1.22;00.0;175.00;7,101.89;Cancelado
4;05/08/2022;149.75;24.03;1.22;00.0;175.00;6,952.14;Cancelado
5;05/09/2022;150.26;23.52;1.22;00.0;175.00;6,801.88;Cancelado
6;05/10/2022;151.51;22.27;1.22;00.0;175.00;6,650.37;Cancelado
7;07/11/2022;149.83;23.95;1.22;00.0;175.00;6,500.54;Cancelado
8;05/12/2022;153.92;19.86;1.22;00.0;175.00;6,346.62;Cancelado
9;05/01/2023;152.31;21.47;1.22;00.0;175.00;6,194.31;Cancelado
10;06/02/2023;152.15;21.63;1.22;00.0;175.00;6,042.16;Cancelado
11;06/03/2023;155.32;18.46;1.22;00.0;175.00;5,886.84;Cancelado
12;05/04/2023;154.51;19.27;1.22;00.0;175.00;5,732.33;Cancelado
13;05/05/2023;155.01;18.77;1.22;00.0;175.00;5,577.32;Cancelado
14;05/06/2023;154.91;18.87;1.22;00.0;175.00;5,422.41;Cancelado
15;05/07/2023;156.03;17.75;1.22;00.0;75.00;5,266.38;Cancelado
16;07/08/2023;154.81;18.97;1.22;00.0;175.00;5,111.57;Cancelado
17;05/09/2023;157.60;16.18;1.22;00.0;175.00;4,953.97;Cancelado
18;05/10/2023;157.56;16.22;1.22;00.0;175.00;4,796.41;Cancelado
19;06/11/2023;157.03;16.75;1.22;00.0;175.00;4,639.38;Cancelado
20;05/12/2023;159.10;14.68;1.22;00.0;175.00;4,480.28;Cancelado
21;05/01/2024;158.62;15.16;1.22;00.0;175.00;4,321.66;Cancelado
22;05/02/2024;159.16;14.62;1.22;00.0;175.00;4,162.50;Cancelado
23;05/03/2024;160.61;13.17;1.22;00.0;175.00;4,001.89;Cancelado
24;05/04/2024;160.24;13.54;1.22;00.0;175.00;3,841.65;Cancelado
25;06/05/2024;160.78;13.00;1.22;00.0;175.00;3,680.87;Cancelado
26;05/06/2024;161.73;12.05;1.22;00.0;175.00;3,519.14;Pendiente
27;05/07/2024;162.26;11.52;1.22;00.0;175.00;3,356.88;Pendiente
28;05/08/2024;162.42;11.36;1.22;00.0;175.00;3,194.46;Pendiente
29;05/09/2024;162.97;10.81;1.22;00.0;175.00;3,031.49;Pendiente
30;07/10/2024;163.19;10.59;1.22;00.0;175.00;2,868.30;Pendiente
31;05/11/2024;164.70;9.08;1.22;00.0;175.00;2,703.60;Pendiente
32;05/12/2024;164.93;8.85;1.22;00.0;175.00;2,538.67;Pendiente
33;06/01/2025;164.91;8.87;1.22;00.0;175.00;2,373.76;Pendiente
34;05/02/2025;166.01;7.77;1.22;00.0;175.00;2,207.75;Pendiente
35;05/03/2025;167.03;6.75;1.22;00.0;175.00;2,040.72;Pendiente
36;07/04/2025;166.43;7.35;1.22;00.0;175.00;1,874.29;Pendiente
37;05/05/2025;168.05;5.73;1.22;00.0;175.00;1,706.24;Pendiente
38;05/06/2025;168.01;5.77;1.22;00.0;175.00;1,538.23;Pendiente
39;07/07/2025;168.41;5.37;1.22;00.0;175.00;1,369.82;Pendiente
40;05/08/2025;169.45;4.33;1.22;00.0;175.00;1,200.37;Pendiente
41;05/09/2025;169.72;4.06;1.22;00.0;175.00;1,030.65;Pendiente
42;06/10/2025;170.29;3.49;1.22;00.0;175.00;860.36;Pendiente
43;05/11/2025;170.96;2.82;1.22;00.0;175.00;689.40;Pendiente
44;05/12/2025;171.52;2.26;1.22;00.0;175.00;517.88;Pendiente
45;05/01/2026;172.03;1.75;1.22;00.0;175.00;345.85;Pendiente
46;05/02/2026;172.61;1.17;1.22;00.0;175.00;173.24;Pendiente
47;05/03/2026;173.24;0.53;1.22;00.0;174.99;0.00;Pendiente
