Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;12/07/2024;298.36;30.56;2.30244;0.00;331.22244;7168.77756;Pendiente
2;15/08/2024;298.60;30.32;2.30244;0.00;331.22244;6837.55512;Pendiente
3;16/09/2024;298.92;30;2.30244;0.00;331.22244;6506.33268;Pendiente
4;15/10/2024;302.91;26.01;2.30244;0.00;331.22244;6175.11024;Pendiente
5;12/11/2024;302.39;26.53;2.30244;0.00;331.22244;5843.8878;Pendiente
6;16/12/2024;303.66;25.26;2.30244;0.00;331.22244;5512.66536;Pendiente
7;15/01/2025;305.72;23.2;2.30244;0.00;331.22244;5181.44292;Pendiente
8;17/02/2025;304.76;24.16;2.30244;0.00;331.22244;4850.22048;Pendiente
9;17/03/2025;309.59;19.33;2.30244;0.00;331.22244;4518.99804;Pendiente
10;15/04/2025;310.12;18.8;2.30244;0.00;331.22244;4187.7756;Pendiente
11;15/05/2025;310.73;18.19;2.30244;0.00;331.22244;3856.55316;Pendiente
12;16/06/2025;310.86;18.06;2.30244;0.00;331.22244;3525.33072;Pendiente
13;12/07/2025;313.78;15.14;2.30244;0.00;331.22244;3194.10828;Pendiente
14;15/08/2025;314.06;14.86;2.30244;0.00;331.22244;2862.88584;Pendiente
15;15/09/2025;315.38;13.54;2.30244;0.00;331.22244;2531.6634;Pendiente
16;15/10/2025;317.10;11.82;2.30244;0.00;331.22244;2200.44096;Pendiente
17;17/11/2025;317.34;11.58;2.30244;0.00;331.22244;1869.21852;Pendiente
18;12/12/2025;320.31;8.61;2.30244;0.00;331.22244;1537.99608;Pendiente
19;15/01/2025;320.73;8.19;2.30244;0.00;331.22244;1206.77364;Pendiente
20;16/02/2025;321.86;7.06;2.30244;0.00;331.22244;875.5512;Pendiente
21;16/03/2025;323.97;4.95;2.30244;0.00;331.22244;544.32876;Pendiente
22;15/04/2025;324.93;3.99;2.30244;0.00;331.22244;213.10632;Pendiente
23;15/05/2025;326.26;2.66;2.30244;0.00;331.22244;0;Pendiente
