Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;15/09/2021;47.70;13.12;0.50;0.00;61.32;1,952.30;Cancelado
2;15/10/2021;54.43;6.39;0.50;0.00;61.32;1,897.87;Cancelado
3;15/11/2021;54.40;6.42;0.50;0.00;61.32;1,843.47;Cancelado
4;15/12/2021;54.78;6.04;0.50;0.00;61.32;1,788.69;Cancelado
5;17/01/2022;54.38;6.44;0.50;0.00;61.32;1,734.31;Cancelado
6;15/02/2022;55.33;5.49;0.50;0.00;61.32;1,678.98;Cancelado
7;15/03/2022;55.69;5.13;0.50;0.00;61.32;1,623.29;Cancelado
8;18/04/2022;54.80;6.02;0.50;0.00;61.32;1,568.49;Cancelado
9;16/05/2022;56.03;4.79;0.50;0.00;61.32;1,512.46;Cancelado
10;15/06/2022;55.87;4.95;0.50;0.00;61.32;1,456.59;Cancelado
11;15/07/2022;56.05;4.77;0.50;0.00;61.32;1,400.54;Cancelado
12;15/08/2022;56.08;4.74;0.50;0.00;61.32;1,344.46;Cancelado
13;15/09/2022;56.27;4.55;0.50;0.00;61.32;1,288.19;Cancelado
14;17/10/2022;56.32;4.50;0.50;0.00;61.32;1,231.87;Cancelado
15;15/11/2022;56.92;3.90;0.50;0.00;61.32;1,174.95;Cancelado
16;15/12/2022;56.97;3.85;0.50;0.00;61.32;1,117.98;Cancelado
17;16/01/2023;56.92;3.90;0.50;0.00;61.32;1,061.06;Cancelado
18;15/02/2023;57.35;3.47;0.50;0.00;61.32;1,003.71;Cancelado
19;15/03/2023;57.75;3.07;0.50;0.00;61.32;945.96;Cancelado
20;17/04/2023;57.41;3.41;0.50;0.00;61.32;888.55;Cancelado
21;15/05/2023;58.11;2.71;0.50;0.00;61.32;830.44;Cancelado
22;15/06/2023;58.01;2.81;0.50;0.00;61.32;772.43;Cancelado
23;17/07/2023;58.12;2.70;0.50;0.00;61.32;714.31;Cancelado
24;15/08/2023;58.56;2.26;0.50;0.00;61.32;655.75;Cancelado
25;15/09/2023;58.60;2.22;0.50;0.00;61.32;597.15;Cancelado
26;16/10/2023;58.80;2.02;0.50;0.00;61.32;538.35;Cancelado
27;15/11/2023;59.06;1.76;0.50;0.00;61.32;479.29;Cancelado
28;15/12/2023;59.25;1.57;0.50;0.00;61.32;420.04;Cancelado
29;15/01/2024;59.40;1.42;0.50;0.00;61.32;360.64;Cancelado
30;15/02/2024;59.60;1.22;0.50;0.00;61.32;301.04;Cancelado
31;15/03/2024;59.87;0.95;0.50;0.00;61.32;241.17;Cancelado
32;15/04/2024;60.00;0.82;0.50;0.00;61.32;181.17;Cancelado
33;15/05/2024;60.23;0.59;0.50;0.00;61.32;120.94;Cancelado
34;17/06/2024;60.38;0.44;0.50;0.00;61.32;60.56;Pendiente
35;15/07/2024;60.56;0.19;0.50;0.00;61.25;0.00;Pendiente
