Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;06/01/2023;96.43;12.29;0.79282;0.00;108.72;2403.57;cancelado
2;06/02/2023;100.59;8.13;0.79282;0.00;108.72;2302.98;cancelado
3;06/03/2023;101.68;7.04;0.79282;0.00;108.72;2201.30;cancelado
4;10/04/2023;100.31;8.41;0.79282;0.00;108.72;2100.99;cancelado
5;08/05/2023;102.30;6.42;0.79282;0.00;108.72;1998.69;cancelado
6;06/06/2023;102.40;6.32;0.79282;0.00;108.72;1896.29;cancelado
7;06/07/2023;102.51;6.21;0.79282;0.00;108.72;1793.78;cancelado
8;07/08/2023;102.46;6.26;0.79282;0.00;108.72;1691.32;cancelado
9;06/09/2023;103.18;5.54;0.79282;0.00;108.72;1588.14;cancelado
10;06/10/2023;103.52;5.20;0.79282;0.00;108.72;1484.62;cancelado
11;06/11/2023;103.70;5.02;0.79282;0.00;108.72;1380.92;cancelado
12;06/12/2023;104.20;4.52;0.79282;0.00;108.72;1276.72;cancelado
13;08/01/2024;104.12;4.60;0.79282;0.00;108.72;1172.60;cancelado
14;06/02/2024;105.01;3.71;0.79282;0.00;108.72;1067.59;cancelado
15;06/03/2024;105.34;3.38;0.79282;0.00;108.72;962.25;cancelado
16;08/04/2024;105.25;3.47;0.79282;0.00;108.72;857.00;cancelado
17;06/05/2024;106.10;2.62;0.79282;0.00;108.72;750.90;cancelado
18;06/06/2024;106.18;2.54;0.79282;0.00;108.72;644.72;pendiente
19;08/07/2024;106.47;2.25;0.79282;0.00;108.72;538.25;pendiente
20;07/08/2024;106.96;1.76;0.79282;0.00;108.72;431.29;pendiente
21;06/09/2024;107.31;1.41;0.79282;0.00;108.72;323.98;pendiente
22;07/10/2024;107.62;1.10;0.79282;0.00;108.72;216.36;pendiente
23;06/11/2024;108.01;0.71;0.79282;0.00;108.72;108.35;pendiente
24;06/12/2024;108.35;0.35;0.79282;0.00;108.70;0.00;pendiente
