Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;03/03/2023;319.34;31.50;2.45588;0.00;350.84;7680.66;cancelado
2;03/04/2023;318.50;32.34;2.45588;0.00;350.84;7362.16;cancelado
3;03/05/2023;320.85;29.99;2.45588;0.00;350.84;7041.31;cancelado
4;05/06/2023;319.28;31.56;2.45588;0.00;350.84;6722.03;cancelado
5;03/07/2023;325.28;25.56;2.45588;0.00;350.84;6396.75;cancelado
6;03/08/2023;323.91;26.93;2.45588;0.00;350.84;6072.84;cancelado
7;04/09/2023;324.45;26.39;2.45588;0.00;350.84;5748.39;cancelado
8;03/10/2023;328.20;22.64;2.45588;0.00;350.84;5420.19;cancelado
9;03/11/2023;328.02;22.82;2.45588;0.00;350.84;5092.17;cancelado
10;04/12/2023;329.40;21.44;2.45588;0.00;350.84;4762.77;cancelado
11;03/01/2024;331.44;19.40;2.45588;0.00;350.84;4431.33;cancelado
12;05/02/2024;330.98;19.86;2.45588;0.00;350.84;4100.35;cancelado
13;04/03/2024;335.25;15.59;2.45588;0.00;350.84;3765.10;cancelado
14;03/04/2024;335.50;15.34;2.45588;0.00;350.84;3429.60;cancelado
15;03/05/2024;336.87;13.97;2.45588;0.00;350.84;3092.73;cancelado
16;03/06/2024;337.82;13.02;2.45588;0.00;350.84;2754.91;pendiente
17;03/07/2024;339.62;11.22;2.45588;0.00;350.84;2415.29;pendiente
18;05/08/2024;340.01;10.83;2.45588;0.00;350.84;2075.28;pendiente
19;03/09/2024;342.67;8.17;2.45588;0.00;350.84;1732.61;pendiente
20;03/10/2024;343.78;7.06;2.45588;0.00;350.84;1388.83;pendiente
21;04/11/2024;344.80;6.04;2.45588;0.00;350.84;1044.03;pendiente
22;03/12/2024;346.73;4.11;2.45588;0.00;350.84;697.30;pendiente
23;03/01/2025;347.90;2.94;2.45588;0.00;350.84;349.40;pendiente
24;03/02/2025;349.40;1.47;2.45588;0.00;350.87;0.00;pendiente
