Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;08-09-2023;158.49;16.92;1.22773; ;175.41;4841.51;
2;09-10-2023;159.03;16.38;1.22773; ;175.41;4682.48;
3;08-11-2023;160.08;15.33;1.22773; ;175.41;4522.40;
4;11-12-2023;159.12;16.29;1.22773; ;175.41;4363.28;
5;08-01-2024;162.08;13.33;1.22773; ;175.41;4201.20;
6;08-02-2024;161.20;14.21;1.22773; ;175.41;4040.00;
7;08-03-2024;162.63;12.78;1.22773; ;175.41;3877.37;
8;08-04-2024;162.29;12.78;1.22773; ;175.41;3715.08;
9;08-05-2024;163.25;12.16;1.22773; ;175.41;3551.83;
10;10-06-2024;162.62;12.79;1.22773; ;175.41;3389.21;
11;08-07-2024;165.06;10.35;1.22773; ;175.41;3224.15;
12;08-08-2024;164.50;10.91;1.22773; ;175.41;3059.65;
13;09-09-2024;164.72;10.69;1.22773; ;175.41;2894.93;
14;09-10-2024;165.93;9.48;1.22773; ;175.41;2729.00;
15;08-11-2024;166.48;8.93;1.22773; ;175.41;2562.52;
16;10-12-2024;166.46;8.95;1.22773; ;175.41;2396.06;
17;08-01-2025;167.83;7.58;1.22773; ;175.41;2228.23;
18;10-02-2025;167.38;8.03;1.22773; ;175.41;2060.85;
19;10-03-2025;169.11;6.30;1.22773; ;175.41;1891.74;
20;08-04-2025;169.42;5.99;1.22773; ;175.41;1722.32;
21;08-05-2025;169.77;5.64;1.22773; ;175.41;1552.55;
22;09-06-2025;169.99;5.42;1.22773; ;175.41;1382.56;
23;08-07-2025;171.03;4.38;1.22773; ;175.41;1211.53;
24;08-08-2025;171.31;4.10;1.22773; ;175.41;1040.22;
25;08-09-2025;171.89;3.52;1.22773; ;175.41;868.33;
26;09-10-2025;172.47;2.94;1.22773; ;175.41;695.86;
27;10-11-2025;172.98;2.43;1.22773; ;175.41;522.88;
28;09-12-2025;173.76;1.65;1.22773; ;175.41;349.12;
29;08-01-2026;174.24;1.14;1.22773; ;175.41;174.85;
30;09-02-2026;174.85;0.61;1.22773; ;175.41;0;
