Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;04/04/2024;77.01;5.00;0.81508;0.00;82.01;722.99;cancelado
2;06/05/2024;78.87;3.14;0.81508;0.00;82.01;644.12;cancelado
3;04/06/2024;79.47;2.54;0.81508;0.00;82.01;564.65;pendiente
4;04/07/2024;79.71;2.30;0.81508;0.00;82.01;484.94;pendiente
5;05/08/2024;79.90;2.11;0.81508;0.00;82.01;405.04;pendiente
6;04/09/2024;80.36;1.65;0.81508;0.00;82.01;324.68;pendiente
7;04/10/2024;80.69;1.32;0.81508;0.00;82.01;243.99;pendiente
8;04/11/2024;80.98;1.03;0.81508;0.00;82.01;163.01;pendiente
9;04/12/2024;81.35;0.66;0.81508;0.00;82.01;81.66;pendiente
10;06/01/2025;81.66;0.37;0.81508;0.00;82.03;0.00;pendiente
