Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;02/03/2024;27.02;1.64;0.2866;0.00;28.9466;471.0534;Cancelado
2;05/04/2024;27.06;1.60;0.2866;0.00;28.9466;442.1068;Cancelado
3;06/05/2024;27.15;1.51;0.2866;0.00;28.9466;413.1602;Cancelado
4;05/06/2024;27.29;1.37;0.2866;0.00;28.9466;384.2136;Pendiente
5;02/07/2024;27.38;1.28;0.2866;0.00;28.9466;355.267;Pendiente
6;05/08/2024;27.43;1.23;0.2866;0.00;28.9466;326.3204;Pendiente
7;05/09/2024;27.52;1.14;0.2866;0.00;28.9466;297.3738;Pendiente
8;07/10/2024;27.58;1.08;0.2866;0.00;28.9466;268.4272;Pendiente
9;05/11/2024;27.77;0.89;0.2866;0.00;28.9466;239.4806;Pendiente
10;06/12/2024;27.83;0.83;0.2866;0.00;28.9466;210.534;Pendiente
11;03/01/2025;27.87;0.79;0.2866;0.00;28.9466;181.5874;Pendiente
12;03/02/2025;28.01;0.65;0.2866;0.00;28.9466;152.6408;Pendiente
13;05/03/2025;28.14;0.52;0.2866;0.00;28.9466;123.6942;Pendiente
14;04/04/2025;28.15;0.51;0.2866;0.00;28.9466;94.7476;Pendiente
15;07/05/2025;28.31;0.35;0.2866;0.00;28.9466;65.801;Pendiente
16;08/06/2025;28.37;0.29;0.2866;0.00;28.9466;36.8544;Pendiente
17;03/07/2025;28.46;0.20;0.2866;0.00;28.9466;7.9078;Pendiente
18;05/08/2025;28.66;0.09;0.2866;0.00;28.9466;0;Pendiente
