Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;03/04/2023;181.16;21.41;1.498;0.00;202.57;3318.84;cancelado
2;02/05/2023;189.50;13.07;1.498;0.00;202.57;3129.34;cancelado
3;02/06/2023;189.39;13.18;1.498;0.00;202.57;2939.95;cancelado
4;03/07/2023;190.19;12.38;1.498;0.00;202.57;2749.76;cancelado
5;02/08/2023;191.37;11.20;1.498;0.00;202.57;2558.39;cancelado
6;04/09/2023;191.10;11.47;1.498;0.00;202.57;2367.29;cancelado
7;02/10/2023;193.57;9.00;1.498;0.00;202.57;2173.72;cancelado
8;02/11/2023;193.42;9.15;1.498;0.00;202.57;1980.30;cancelado
9;04/12/2023;193.96;8.61;1.498;0.00;202.57;1786.34;cancelado
10;02/01/2024;195.54;7.03;1.498;0.00;202.57;1590.80;cancelado
11;02/02/2024;195.87;6.70;1.498;0.00;202.57;1394.93;cancelado
12;04/03/2024;196.70;5.87;1.498;0.00;202.57;1198.23;cancelado
13;02/04/2024;197.85;4.72;1.498;0.00;202.57;1000.38;cancelado
14;02/05/2024;198.49;4.08;1.498;0.00;202.57;801.89;cancelado
15;03/06/2024;199.08;3.49;1.498;0.00;202.57;602.81;pendiente
16;02/07/2024;200.20;2.37;1.498;0.00;202.57;402.61;pendiente
17;02/08/2024;200.87;1.70;1.498;0.00;202.57;201.74;pendiente
18;02/09/2024;201.74;0.85;1.498;0.00;202.59;0.00;pendiente
