Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/12/2024;106.33;26.8;0.93205;0.00;134.06205;4245.93795;Pendiente
2;06/01/2025;118.2;14.93;0.93205;0.00;134.06205;4111.8759;Pendiente
3;05/02/2025;119.53;13.6;0.93205;0.00;134.06205;3977.81385;Pendiente
4;05/03/2025;120.8;12.33;0.93205;0.00;134.06205;3843.7518;Pendiente
5;07/04/2025;119.03;14.1;0.93205;0.00;134.06205;3843.7518;Pendiente
6;02/05/2025;121.53;11.6;0.93205;0.00;134.06205;3575.6277;Pendiente
7;02/06/2025;120.7;12.43;0.93205;0.00;134.06205;3441.56565;Pendiente
8;07/07/2025;120.72;12.41;0.93205;0.00;134.06205;3307.5036;Pendiente
9;05/08/2025;122.27;10.86;0.93205;0.00;134.06205;3173.44155;Pendiente
10;05/09/2025;121.93;11.2;0.93205;0.00;134.06205;3039.3795;Pendiente
11;06/10/2025;122.34;10.79;0.93205;0.00;134.06205;2905.31745;Pendiente
12;02/11/2025;123.09;10.04;0.93205;0.00;134.06205;2771.2554;Pendiente
13;02/12/2025;123.49;9.64;0.93205;0.00;134.06205;2637.19335;Pendiente
14;02/01/2026;123.59;9.54;0.93205;0.00;134.06205;2503.1313;Pendiente
15;05/02/2026;124.01;9.12;0.93205;0.00;134.06205;2369.06925;Pendiente
16;05/03/2026;125.27;7.86;0.93205;0.00;134.06205;2235.0072;Pendiente
17;06/04/2026;124.58;8.55;0.93205;0.00;134.06205;2100.94515;Pendiente
18;05/05/2026;125.78;7.35;0.93205;0.00;134.06205;1966.8831;Pendiente
19;05/06/2026;125.70;7.43;0.93205;0.00;134.06205;1832.82105;Pendiente
20;06/07/2026;126.12;7.01;0.93205;0.00;134.06205;1698.759;Pendiente
21;05/08/2026;126.76;6.37;0.93205;0.00;134.06205;1564.69695;Pendiente
22;07/09/2026;126.58;6.55;0.93205;0.00;134.06205;1430.6349;Pendiente
23;05/10/2026;127.96;5.17;0.93205;0.00;134.06205;1296.57285;Pendiente
24;05/11/2026;127.84;5.29;0.93205;0.00;134.06205;1162.5108;Pendiente
25;07/12/2026;128.12;5.01;0.93205;0.00;134.06205;1028.44875;Pendiente
26;05/01/2027;128.99;4.14;0.93205;0.00;134.06205;894.3867;Pendiente
27;05/02/2027;129.14;3.99;0.93205;0.00;134.06205;760.32465;Pendiente
28;05/03/2027;129.92;3.21;0.93205;0.00;134.06205;626.2626;Pendiente
29;05/04/2027;130.02;3.11;0.93205;0.00;134.06205;492.20055;Pendiente
30;05/05/2027;130.54;2.59;0.93205;0.00;134.06205;358.1385;Pendiente
31;07/06/2027;130.76;2.37;0.93205;0.00;134.06205;224.07645;Pendiente
32;02/07/2027;131.52;1.61;0.93205;0.00;134.06205;90.0144;Pendiente
33;02/08/2027;131.79;1.34;0.93205;0.00;;0;Pendiente
