Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;10/06/2024;142.05;27.94;1.19;0.00;171.18;7,387.95;Pendiente
2;08/07/2024;147.42;22.57;1.19;0.00;171.18;7,240.53;Pendiente
3;07/08/2024;146.29;23.70;1.19;0.00;171.18;7,094.24;Pendiente
4;09/09/2024;144.44;25.55;1.19;0.00;171.18;6,949.80;Pendiente
5;07/10/2024;148.76;21.23;1.19;0.00;171.18;6,801.04;Pendiente
6;07/11/2024;146.98;23.01;1.19;0.00;171.18;6,654.06;Pendiente
7;10/12/2024;146.02;23.97;1.19;0.00;171.18;6,508.04;Pendiente
8;07/01/2025;150.11;19.88;1.19;0.00;171.18;6,357.93;Pendiente
9;07/02/2025;148.48;21.51;1.19;0.00;171.18;6,209.45;Pendiente
10;07/03/2025;151.02;18.97;1.19;0.00;171.18;6,058.43;Pendiente
11;07/04/2025;149.49;20.50;1.19;0.00;171.18;5,908.94;Pendiente
12;07/05/2025;150.65;19.34;1.19;0.00;171.18;5,758.29;Pendiente
13;09/06/2025;149.25;20.74;1.19;0.00;171.18;5,609.04;Pendiente
14;07/07/2025;152.85;17.14;1.19;0.00;171.18;5,456.19;Pendiente
15;07/08/2025;151.53;18.46;1.19;0.00;171.18;5,304.66;Pendiente
16;08/09/2025;151.46;18.53;1.19;0.00;171.18;5,153.20;Pendiente
17;07/10/2025;153.68;16.31;1.19;0.00;171.18;4,999.52;Pendiente
18;07/11/2025;153.08;16.91;1.19;0.00;171.18;4,846.44;Pendiente
19;09/12/2025;153.06;16.93;1.19;0.00;171.18;4,693.38;Pendiente
20;07/01/2026;155.14;14.85;1.19;0.00;171.18;4,538.24;Pendiente
21;09/02/2026;153.64;16.35;1.19;0.00;171.18;4,384.60;Pendiente
22;09/03/2026;156.59;13.40;1.19;0.00;171.18;4,228.01;Pendiente
23;07/04/2026;156.61;13.38;1.19;0.00;171.18;4,071.40;Pendiente
24;07/05/2026;156.66;13.33;1.19;0.00;171.18;3,914.74;Pendiente
25;08/06/2026;156.32;13.67;1.19;0.00;171.18;3,758.42;Pendiente
26;07/07/2026;158.10;11.89;1.19;0.00;171.18;3,600.32;Pendiente
27;07/08/2026;157.81;12.18;1.19;0.00;171.18;3,442.51;Pendiente
28;07/09/2026;158.34;11.65;1.19;0.00;171.18;3,284.17;Pendiente
29;07/10/2026;159.24;10.75;1.19;0.00;171.18;3,124.93;Pendiente
30;09/11/2026;158.73;11.26;1.19;0.00;171.18;2,966.20;Pendiente
31;07/12/2026;160.93;9.06;1.19;0.00;171.18;2,805.27;Pendiente
32;07/01/2027;160.50;9.49;1.19;0.00;171.18;2,644.77;Pendiente
33;08/02/2027;160.75;9.24;1.19;0.00;171.18;2,484.02;Pendiente
34;08/03/2027;162.40;7.59;1.19;0.00;171.18;2,321.62;Pendiente
35;07/04/2027;162.39;7.60;1.19;0.00;171.18;2,159.23;Pendiente
36;07/05/2027;162.92;7.07;1.19;0.00;171.18;1,996.31;Pendiente
