Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;04/03/2024;354.29;17.03;2.60;0.00;381.32;3,645.71;Cancelado
2;04/04/2024;358.99;12.33;2.60;0.00;381.32;3,286.72;Cancelado
3;06/05/2024;359.84;11.48;2.60;0.00;381.32;2,926.88;Cancelado
4;04/06/2024;362.06;9.26;2.60;0.00;381.32;2,564.82;Pendiente
5;04/07/2024;362.92;8.40;2.60;0.00;381.32;2,201.90;Pendiente
6;05/08/2024;363.63;7.69;2.60;0.00;381.32;1,838.27;Pendiente
7;04/09/2024;365.30;6.02;2.60;0.00;381.32;1,472.97;Pendiente
8;04/10/2024;366.50;4.82;2.60;0.00;381.32;1,106.47;Pendiente
9;04/11/2024;367.58;3.74;2.60;0.00;381.32;738.89;Pendiente
10;04/12/2024;368.90;2.42;2.60;0.00;381.32;369.99;Pendiente
11;06/01/2025;369.99;1.33;2.60;0.00;381.32;0.00;Pendiente
