Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/05/2023;16.92;4.36;0.21;0.00;21.49;683.08;Cancelado
2;05/06/2023;18.97;2.31;0.21;0.00;21.49;664.11;Cancelado
3;05/07/2023;19.11;2.17;0.21;0.00;21.49;645.00;Cancelado
4;07/08/2023;18.96;2.32;0.21;0.00;21.49;626.04;Cancelado
5;05/09/2023;19.30;1.98;0.21;0.00;21.49;606.74;Cancelado
6;05/10/2023;19.29;1.99;0.21;0.00;21.49;587.45;Cancelado
7;06/11/2023;19.23;2.05;0.21;0.00;21.49;568.22;Cancelado
8;05/12/2023;19.48;1.80;0.21;0.00;21.49;548.74;Cancelado
9;05/01/2024;19.42;1.86;0.21;0.00;21.49;529.32;Cancelado
10;05/02/2024;19.49;1.79;0.21;0.00;21.49;509.83;Cancelado
11;05/03/2024;19.67;1.61;0.21;0.00;21.49;490.16;Cancelado
12;05/04/2024;19.62;1.66;0.21;0.00;21.49;470.54;Cancelado
13;06/05/2024;19.69;1.59;0.21;0.00;21.49;450.85;Cancelado
14;05/06/2024;19.80;1.48;0.21;0.00;21.49;431.05;Pendiente
15;05/07/2024;19.87;1.41;0.21;0.00;21.49;411.18;Pendiente
16;05/08/2024;19.89;1.39;0.21;0.00;21.49;391.29;Pendiente
17;05/09/2024;19.96;1.32;0.21;0.00;21.49;371.33;Pendiente
18;07/10/2024;19.98;1.30;0.21;0.00;21.49;351.35;Pendiente
19;05/11/2024;20.17;1.11;0.21;0.00;21.49;331.18;Pendiente
20;05/12/2024;20.20;1.08;0.21;0.00;21.49;310.98;Pendiente
21;06/01/2025;20.19;1.09;0.21;0.00;21.49;290.79;Pendiente
22;05/02/2025;20.33;0.95;0.21;0.00;21.49;270.46;Pendiente
23;05/03/2025;20.45;0.83;0.21;0.00;21.49;250.01;Pendiente
24;07/04/2025;20.38;0.90;0.21;0.00;21.49;229.63;Pendiente
25;05/05/2025;20.58;0.70;0.21;0.00;21.49;209.05;Pendiente
26;05/06/2025;20.57;0.71;0.21;0.00;21.49;188.48;Pendiente
27;07/07/2025;20.62;0.66;0.21;0.00;21.49;167.86;Pendiente
28;05/08/2025;20.75;0.53;0.21;0.00;21.49;147.11;Pendiente
29;05/09/2025;20.78;0.50;0.21;0.00;21.49;126.33;Pendiente
30;06/10/2025;20.85;0.43;0.21;0.00;21.49;105.48;Pendiente
31;05/11/2025;20.93;0.35;0.21;0.00;21.49;84.55;Pendiente
32;05/12/2025;21.00;0.28;0.21;0.00;21.49;63.55;Pendiente
33;05/01/2026;21.07;0.21;0.21;0.00;21.49;42.48;Pendiente
34;05/02/2026;21.14;0.14;0.21;0.00;21.49;21.34;Pendiente
35;05/03/2026;21.34;0.07;0.21;0.00;21.62;0.00;Pendiente
