Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;31/10/2022;156.07;23.44;1.25;00.0;180.76;3,968.93;Cancelado
2;30/11/2022;166.52;12.99;1.25;00.0;180.76;3,802.41;Cancelado
3;27/12/2022;167.06;12.45;1.25;00.0;180.76;3,635.35;Cancelado
4;27/01/2023;167.21;12.30;1.25;00.0;180.76;3,468.14;Cancelado
5;27/02/2023;168.54;10.97;1.25;00.0;180.76;3,299.60;Cancelado
6;30/03/2023;168.71;10.80;1.25;00.0;180.76;3,130.89;Cancelado
7;02/05/2023;168.23;11.28;1.25;00.0;180.76;2,962.66;Cancelado
8;27/05/2023;170.46;9.05;1.25;00.0;180.76;2,792.20;Cancelado
9;30/06/2023;170.06;9.45;1.25;00.0;180.76;2,622.14;Cancelado
10;31/07/2023;170.64;8.87;1.25;00.0;180.76;2,451.50;Cancelado
11;31/08/2023;171.22;8.29;1.25;00.0;180.76;2,280.28;Cancelado
12;02/10/2023;171.55;7.96;1.25;00.0;180.76;2,108.73;Cancelado
13;30/10/2023;173.07;6.44;1.25;00.0;180.76;1,935.66;Cancelado
14;30/11/2023;172.96;6.55;1.25;00.0;180.76;1,762.70;Cancelado
15;02/01/2024;173.16;6.35;1.25;00.0;180.76;1,589.54;Cancelado
16;30/01/2024;174.65;4.86;1.25;00.0;180.76;1,414.89;Cancelado
17;29/02/2024;174.88;4.63;1.25;00.0;180.76;1,240.01;Cancelado
18;01/04/2024;175.18;4.33;1.25;00.0;180.76;1,064.83;Cancelado
19;30/04/2024;176.14;3.37;1.25;00.0;180.76;888.69;Cancelado
20;30/05/2024;176.60;2.91;1.25;00.0;180.76;712.09;Pendiente
21;01/07/2024;177.02;2.49;1.25;00.0;180.76;535.07;Pendiente
22;30/07/2024;177.82;1.69;1.25;00.0;180.76;357.25;Pendiente
23;02/09/2024;178.18;1.33;1.25;00.0;180.76;179.07;Pendiente
24;30/09/2024;179.07;0.55;1.25;00.0;180.87;0.00;Pendiente
