Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;04/06/2024;156.63;30.80;1.31;0.00;188.74;8,143.37;Pendiente
2;04/07/2024;160.77;26.66;1.31;0.00;188.74;7,982.60;Pendiente
3;05/08/2024;159.55;27.88;1.31;0.00;188.74;7,823.05;Pendiente
4;04/09/2024;161.82;25.61;1.31;0.00;188.74;7,661.23;Pendiente
5;04/10/2024;162.35;25.08;1.31;0.00;188.74;7,498.88;Pendiente
6;04/11/2024;162.06;25.37;1.31;0.00;188.74;7,336.82;Pendiente
7;04/12/2024;163.41;24.02;1.31;0.00;188.74;7,173.41;Pendiente
8;06/01/2025;161.59;25.84;1.31;0.00;188.74;7,011.82;Pendiente
9;04/02/2025;165.24;22.19;1.31;0.00;188.74;6,846.58;Pendiente
10;04/03/2025;166.51;20.92;1.31;0.00;188.74;6,680.07;Pendiente
11;04/04/2025;164.83;22.60;1.31;0.00;188.74;6,515.24;Pendiente
12;05/05/2025;165.39;22.04;1.31;0.00;188.74;6,349.85;Pendiente
13;04/06/2025;166.64;20.79;1.31;0.00;188.74;6,183.21;Pendiente
14;04/07/2025;167.19;20.24;1.31;0.00;188.74;6,016.02;Pendiente
15;04/08/2025;167.08;20.35;1.31;0.00;188.74;5,848.94;Pendiente
16;04/09/2025;167.64;19.79;1.31;0.00;188.74;5,681.30;Pendiente
17;06/10/2025;167.59;19.84;1.31;0.00;188.74;5,513.71;Pendiente
18;04/11/2025;169.98;17.45;1.31;0.00;188.74;5,343.73;Pendiente
19;04/12/2025;169.94;17.49;1.31;0.00;188.74;5,173.79;Pendiente
20;05/01/2026;169.36;18.07;1.31;0.00;188.74;5,004.43;Pendiente
21;04/02/2026;171.05;16.38;1.31;0.00;188.74;4,833.38;Pendiente
22;04/03/2026;172.66;14.77;1.31;0.00;188.74;4,660.72;Pendiente
23;06/04/2026;170.64;16.79;1.31;0.00;188.74;4,490.08;Pendiente
24;04/05/2026;173.71;13.72;1.31;0.00;188.74;4,316.37;Pendiente
25;04/06/2026;172.83;14.60;1.31;0.00;188.74;4,143.54;Pendiente
26;06/07/2026;172.96;14.47;1.31;0.00;188.74;3,970.58;Pendiente
27;04/08/2026;174.87;12.56;1.31;0.00;188.74;3,795.71;Pendiente
28;04/09/2026;174.59;12.84;1.31;0.00;188.74;3,621.12;Pendiente
29;05/10/2026;175.18;12.25;1.31;0.00;188.74;3,445.94;Pendiente
30;04/11/2026;176.15;11.28;1.31;0.00;188.74;3,269.79;Pendiente
31;04/12/2026;176.73;10.70;1.31;0.00;188.74;3,093.06;Pendiente
32;04/01/2027;176.97;10.46;1.31;0.00;188.74;2,916.09;Pendiente
33;04/02/2027;177.56;9.87;1.31;0.00;188.74;2,738.53;Pendiente
34;04/03/2027;179.06;8.37;1.31;0.00;188.74;2,559.47;Pendiente
35;05/04/2027;178.49;8.94;1.31;0.00;188.74;2,380.98;Pendiente
36;04/05/2027;179.90;7.53;1.31;0.00;188.74;2,201.08;Pendiente
37;04/06/2027;179.98;7.45;1.31;0.00;188.74;2,021.10;Pendiente
38;05/07/2027;180.59;6.84;1.31;0.00;188.74;1,840.51;Pendiente
39;04/08/2027;181.40;6.03;1.31;0.00;188.74;1,659.11;Pendiente
40;06/09/2027;181.45;5.98;1.31;0.00;188.74;1,477.66;Pendiente
41;04/10/2027;182.92;4.51;1.31;0.00;188.74;1,294.74;Pendiente
42;04/11/2027;183.05;4.38;1.31;0.00;188.74;1,111.69;Pendiente
43;06/12/2027;183.55;3.88;1.31;0.00;188.74;928.14;Pendiente
44;04/01/2028;184.49;2.94;1.31;0.00;188.74;743.65;Pendiente
45;04/02/2028;184.91;2.52;1.31;0.00;188.74;558.74;Pendiente
46;06/03/2028;185.54;1.89;1.31;0.00;188.74;373.20;Pendiente
47;04/04/2028;186.25;1.18;1.31;0.00;188.74;186.95;Pendiente
48;04/05/2028;186.95;0.61;1.31;0.00;188.87;0.00;Pendiente
