Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/02/2024;269.17;17.46;2.02041;0.00;288.65041;4711.34959;Cancelado
2;01/03/2024;272.18;14.45;2.02041;0.00;288.65041;4422.69918;Cancelado
3;01/04/2024;271.55;15.08;2.02041;0.00;288.65041;4134.04877;Cancelado
4;06/05/2024;272.01;14.62;2.02041;0.00;288.65041;3845.39836;Cancelado
5;04/06/2024;274.24;12.39;2.02041;0.00;288.65041;3556.74795;Pendiente
6;04/07/2024;274.71;11.92;2.02041;0.00;288.65041;3268.09754;Pendiente
7;05/08/2024;274.87;11.76;2.02041;0.00;288.65041;2979.44713;Pendiente
8;04/09/2024;276.51;10.12;2.02041;0.00;288.65041;2690.79672;Pendiente
9;04/10/2024;277.42;09.21;2.02041;0.00;288.65041;2402.14631;Pendiente
10;04/11/2024;278.05;08.58;2.02041;0.00;288.65041;2113.4959;Pendiente
11;04/12/2024;279.23;07.40;2.02041;0.00;288.65041;1824.84549;Pendiente
12;06/01/2025;279.50;07.13;2.02041;0.00;288.65041;1536.19508;Pendiente
13;04/02/2025;281.25;05.38;2.02041;0.00;288.65041;1247.54467;Pendiente
14;01/03/2025;282.29;04.34;2.02041;0.00;288.65041;958.89426;Pendiente
15;01/04/2025;282.78;03.85;2.02041;0.00;288.65041;670.24385;Pendiente
16;05/05/2025;283.74;02.89;2.02041;0.00;288.65041;381.59344;Pendiente
17;04/06/2025;284.76;01.87;2.02041;0.00;288.65041;92.94303;Pendiente
18;04/07/2025;285.75;0.94;2.02041;0.00;288.65041;0;Pendiente
