Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;04/01/2023;24.02;2.03;0.36;00.0;26.41;575.98;Cancelado
2;06/02/2023;23.98;2.07;0.36;00.0;26.41;552.00;Cancelado
3;06/03/2023;24.36;1.69;0.36;00.0;26.41;527.64;Cancelado
4;04/04/2023;24.38;1.67;0.36;00.0;26.41;503.26;Cancelado
5;04/05/2023;24.40;1.65;0.36;00.0;26.41;478.86;Cancelado
6;05/06/2023;24.38;1.67;0.36;00.0;26.41;454.48;Cancelado
7;04/07/2023;24.61;1.44;0.36;00.0;26.41;429.87;Cancelado
8;04/08/2023;24.60;1.45;0.36;00.0;26.41;405.27;Cancelado
9;04/09/2023;24.68;1.37;0.36;00.0;26.41;380.59;Cancelado
10;04/10/2023;24.80;1.25;0.36;00.0;26.41;355.79;Cancelado
11;06/11/2023;24.77;1.28;0.36;00.0;26.41;331.02;Cancelado
12;04/12/2023;25.04;1.01;0.36;00.0;26.41;305.98;Cancelado
13;04/01/2024;25.01;1.04;0.36;00.0;26.41;280.97;Cancelado
14;05/02/2024;25.07;0.98;0.36;00.0;26.41;255.90;Cancelado
15;04/03/2024;25.27;0.78;0.36;00.0;26.41;230.63;Cancelado
16;04/04/2024;25.27;0.78;0.36;00.0;26.41;205.36;Cancelado
17;06/05/2024;25.33;0.72;0.36;00.0;26.41;180.03;Cancelado
18;04/06/2024;25.48;0.57;0.36;00.0;26.41;154.55;Pendiente
19;04/07/2024;25.54;0.51;0.36;00.0;26.41;129.01;Pendiente
20;05/08/2024;25.60;0.45;0.36;00.0;26.41;103.41;Pendiente
21;04/09/2024;25.71;0.34;0.36;00.0;26.41;77.70;Pendiente
22;04/10/2024;25.80;0.25;0.36;00.0;26.41;51.90;Pendiente
23;04/11/2024;25.87;0.18;0.36;00.0;26.41;26.03;Pendiente
24;04/12/2024;26.03;0.09;0.36;00.0;26.48;0.00;Pendiente
