Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;08/01/2024;25.11;9.51;0.35;0.00;34.97;1,474.89;Cancelado
2;06/02/2024;29.95;4.67;0.35;0.00;34.97;1,444.94;Cancelado
3;06/03/2024;30.05;4.57;0.35;0.00;34.97;1,414.89;Cancelado
4;08/04/2024;29.52;5.10;0.35;0.00;34.97;1,385.37;Cancelado
5;06/05/2024;30.39;4.23;0.35;0.00;34.97;1,354.98;Pendiente
6;06/06/2024;30.04;4.58;0.35;0.00;34.97;1,324.94;Pendiente
7;08/07/2024;29.99;4.63;0.35;0.00;34.97;1,294.95;Pendiente
8;07/08/2024;30.38;4.24;0.35;0.00;34.97;1,264.57;Pendiente
9;06/09/2024;30.48;4.14;0.35;0.00;34.97;1,234.09;Pendiente
10;07/10/2024;30.45;4.17;0.35;0.00;34.97;1,203.64;Pendiente
11;06/11/2024;30.68;3.94;0.35;0.00;34.97;1,172.96;Pendiente
12;06/12/2024;30.78;3.84;0.35;0.00;34.97;1,142.18;Pendiente
13;06/01/2025;30.76;3.86;0.35;0.00;34.97;1,111.42;Pendiente
14;06/02/2025;30.86;3.76;0.35;0.00;34.97;1,080.56;Pendiente
15;06/03/2025;31.32;3.30;0.35;0.00;34.97;1,049.24;Pendiente
16;07/04/2025;30.96;3.66;0.35;0.00;34.97;1,018.28;Pendiente
17;06/05/2025;31.40;3.22;0.35;0.00;34.97;986.88;Pendiente
18;06/06/2025;31.28;3.34;0.35;0.00;34.97;955.60;Pendiente
19;07/07/2025;31.39;3.23;0.35;0.00;34.97;924.21;Pendiente
20;06/08/2025;31.59;3.03;0.35;0.00;34.97;892.62;Pendiente
21;08/09/2025;31.41;3.21;0.35;0.00;34.97;861.21;Pendiente
22;06/10/2025;31.99;2.63;0.35;0.00;34.97;829.22;Pendiente
23;06/11/2025;31.81;2.81;0.35;0.00;34.97;797.41;Pendiente
24;09/12/2025;31.75;2.87;0.35;0.00;34.97;765.66;Pendiente
25;06/01/2026;32.28;2.34;0.35;0.00;34.97;733.38;Pendiente
26;06/02/2026;32.14;2.48;0.35;0.00;34.97;701.24;Pendiente
27;06/03/2026;32.48;2.14;0.35;0.00;34.97;668.76;Pendiente
28;06/04/2026;32.36;2.26;0.35;0.00;34.97;636.40;Pendiente
29;06/05/2026;32.54;2.08;0.35;0.00;34.97;603.86;Pendiente
30;08/06/2026;32.45;2.17;0.35;0.00;34.97;571.41;Pendiente
31;06/07/2026;32.87;1.75;0.35;0.00;34.97;538.54;Pendiente
32;06/08/2026;32.80;1.82;0.35;0.00;34.97;505.74;Pendiente
33;07/09/2026;32.85;1.77;0.35;0.00;34.97;472.89;Pendiente
34;06/10/2026;33.12;1.50;0.35;0.00;34.97;439.77;Pendiente
35;06/11/2026;33.13;1.49;0.35;0.00;34.97;406.64;Pendiente
36;07/12/2026;33.24;1.38;0.35;0.00;34.97;373.40;Pendiente
37;06/01/2027;33.40;1.22;0.35;0.00;34.97;340.00;Pendiente
38;08/02/2027;33.40;1.22;0.35;0.00;34.97;306.60;Pendiente
39;08/03/2027;33.68;0.94;0.35;0.00;34.97;272.92;Pendiente
40;06/04/2027;33.76;0.86;0.35;0.00;34.97;239.16;Pendiente
41;06/05/2027;33.84;0.78;0.35;0.00;34.97;205.32;Pendiente
42;07/06/2027;33.90;0.72;0.35;0.00;34.97;171.42;Pendiente
43;06/07/2027;34.08;0.54;0.35;0.00;34.97;137.34;Pendiente
44;06/08/2027;34.16;0.46;0.35;0.00;34.97;103.18;Pendiente
45;06/09/2027;34.27;0.35;0.35;0.00;34.97;68.91;Pendiente
46;06/10/2027;34.39;0.23;0.35;0.00;34.97;34.52;Pendiente
47;08/11/2027;34.52;0.12;0.35;0.00;34.99;0.00;Pendiente
