Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;01/04/2024;252.29;43.18;1.99297;3.70123;293.76174;7306.23826;
2;06/05/2024;269.81;25.66;1.99297;0;297.46297;7008.77529;
3;01/06/2024;273.07;22.40;1.99297;3.70123;293.76174;6715.01355;
4;04/07/2024;273.19;22.28;1.99297;0;297.46297;6417.55058;
5;05/08/2024;272.66;22.81;1.99297;0;297.46297;6120.08761;
6;04/09/2024;274.98;20.49;1.99297;0;297.46297;5822.62464;
7;04/10/2024;275.88;19.59;1.99297;0;297.46297;5525.16167;
8;01/11/2024;276.16;19.31;1.99297;3.70123;293.76174;5231.39993;
9;01/12/2024;277.69;17.78;1.99297;3.70123;293.76174;4937.63819;
10;06/01/2025;276.91;18.56;1.99297;0;297.46297;4640.17522;
11;04/02/2025;280.04;15.43;1.99297;0;297.46297;4342.71225;
12;04/03/2025;281.42;14.05;1.99297;0;297.46297;4045.24928;
13;04/04/2025;280.87;14.60;1.99297;0;297.46297;3747.78631;
14;05/05/2025;281.82;13.65;1.99297;0;297.46297;3450.32334;
15;04/06/2025;283.18;12.29;1.99297;0;297.46297;3152.86037;
16;04/07/2025;284.11;11.36;1.99297;0;297.46297;2855.3974;
17;04/08/2025;284.69;10.78;1.99297;0;297.46297;2557.93443;
18;04/09/2025;285.65;9.82;1.99297;0;297.46297;2260.47146;
19;06/10/2025;286.34;9.13;1.99297;0;297.46297;1963.00849;
20;04/11/2025;288.10;7.37;1.99297;0;297.46297;1665.54552;
21;04/12/2025;288.79;6.68;1.99297;0;297.46297;1368.08255;
22;05/01/2026;289.35;6.12;1.99297;0;297.46297;1070.61958;
23;04/02/2026;290.68;4.79;1.99297;0;297.46297;773.15661;
24;04/03/2026;291.89;3.58;1.99297;0;297.46297;475.69364;
25;06/04/2026;292.30;3.17;1.99297;0;297.46297;178.23067;
26;01/05/2026;293.67;1.80;1.99297;3.70123;293.76174;0;
