Mes;Vencimiento;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;11/03/2024;70.69;3.58;0.74;00.0;75.01;729.31;Cancelado
2;10/04/2024;71.88;2.39;0.74;00.0;75.01;657.43;Cancelado
3;10/05/2024;72.12;2.15;0.74;00.0;75.01;585.31;Pendiente
4;10/06/2024;72.29;1.98;0.74;00.0;75.01;513.02;Pendiente
5;10/07/2024;72.59;1.68;0.74;00.0;75.01;440.43;Pendiente
6;12/08/2024;72.68;1.59;0.74;00.0;75.01;367.75;Pendiente
7;10/09/2024;73.11;1.16;0.74;00.0;75.01;294.64;Pendiente
8;10/10/2024;73.31;0.96;0.74;00.0;75.01;221.33;Pendiente
9;11/11/2024;73.50;0.77;0.74;00.0;75.01;147.83;Pendiente
10;10/12/2024;73.80;0.47;0.74;00.0;75.01;74.03;Pendiente
11;10/01/2025;74.03;0.25;0.74;00.0;75.02;0.00;Pendiente
